model,accuracy,precision,recall,f1,roc_auc,pr_auc
Random Forest,0.7226173541963016,0.5970149253731343,0.6477732793522267,0.6213592233009708,0.7706313481071099,0.6622104279273751
Logistic Regression,0.6906116642958748,0.5467511885895404,0.6983805668016194,0.6133333333333333,0.7629181760068187,0.6373934961331502
XGBoost,0.6955903271692745,0.5597826086956522,0.6255060728744939,0.5908221797323135,0.7563924994672917,0.6351586697759932
Decision Tree,0.647226173541963,0.4984520123839009,0.6518218623481782,0.5649122807017544,0.7277771858796789,0.5921753726411282
